2025-11-10 02:47:22,288 | INFO | books_crawler | Starting crawler run
2025-11-10 02:47:24,209 | INFO | books_crawler | Found 50 categories from index pages
2025-11-10 02:47:24,211 | INFO | books_crawler | Processing category: Travel
2025-11-10 02:47:27,119 | INFO | books_crawler | Updated book Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond with 3 changes
2025-11-10 02:47:27,121 | INFO | books_crawler | Successfully crawled book: Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond
2025-11-10 02:47:27,123 | INFO | books_crawler | Updated book Neither Here nor There: Travels in Europe with 3 changes
2025-11-10 02:47:27,124 | INFO | books_crawler | Successfully crawled book: Neither Here nor There: Travels in Europe
2025-11-10 02:47:27,126 | INFO | books_crawler | Updated book It's Only the Himalayas with 3 changes
2025-11-10 02:47:27,127 | INFO | books_crawler | Successfully crawled book: It's Only the Himalayas
2025-11-10 02:47:27,128 | INFO | books_crawler | Updated book See America: A Celebration of Our National Parks & Treasured Sites with 3 changes
2025-11-10 02:47:27,129 | INFO | books_crawler | Successfully crawled book: See America: A Celebration of Our National Parks & Treasured Sites
2025-11-10 02:47:27,130 | INFO | books_crawler | Updated book A Year in Provence (Provence #1) with 3 changes
2025-11-10 02:47:27,132 | INFO | books_crawler | Successfully crawled book: A Year in Provence (Provence #1)
2025-11-10 02:47:27,135 | INFO | books_crawler | Updated book A Summer In Europe with 3 changes
2025-11-10 02:47:27,136 | INFO | books_crawler | Successfully crawled book: A Summer In Europe
2025-11-10 02:47:27,138 | INFO | books_crawler | Updated book The Great Railway Bazaar with 3 changes
2025-11-10 02:47:27,140 | INFO | books_crawler | Successfully crawled book: The Great Railway Bazaar
2025-11-10 02:47:27,186 | INFO | books_crawler | Updated book Under the Tuscan Sun with 3 changes
2025-11-10 02:47:27,189 | INFO | books_crawler | Successfully crawled book: Under the Tuscan Sun
2025-11-10 02:47:27,191 | INFO | books_crawler | Updated book Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel with 3 changes
2025-11-10 02:47:27,193 | INFO | books_crawler | Successfully crawled book: Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel
2025-11-10 02:47:27,196 | INFO | books_crawler | Updated book The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2) with 3 changes
2025-11-10 02:47:27,205 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
2025-11-10 02:47:27,207 | INFO | books_crawler | Successfully crawled book: The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2)
2025-11-10 02:47:28,158 | INFO | books_crawler | Updated book 1,000 Places to See Before You Die with 3 changes
2025-11-10 02:47:28,160 | INFO | books_crawler | Successfully crawled book: 1,000 Places to See Before You Die
2025-11-10 02:47:28,253 | INFO | books_crawler | Completed category Travel: 11 books processed
2025-11-10 02:47:28,255 | INFO | books_crawler | Processing category: Mystery
2025-11-10 02:47:30,973 | INFO | books_crawler | Updated book In a Dark, Dark Wood with 3 changes
2025-11-10 02:47:30,975 | INFO | books_crawler | Successfully crawled book: In a Dark, Dark Wood
2025-11-10 02:47:31,006 | INFO | books_crawler | Updated book A Study in Scarlet (Sherlock Holmes #1) with 3 changes
2025-11-10 02:47:31,008 | INFO | books_crawler | Successfully crawled book: A Study in Scarlet (Sherlock Holmes #1)
2025-11-10 02:47:31,012 | INFO | books_crawler | Updated book The Past Never Ends with 3 changes
2025-11-10 02:47:31,013 | INFO | books_crawler | Successfully crawled book: The Past Never Ends
2025-11-10 02:47:31,016 | INFO | books_crawler | Updated book Tastes Like Fear (DI Marnie Rome #3) with 3 changes
2025-11-10 02:47:31,018 | INFO | books_crawler | Successfully crawled book: Tastes Like Fear (DI Marnie Rome #3)
2025-11-10 02:47:31,033 | INFO | books_crawler | Updated book The Murder of Roger Ackroyd (Hercule Poirot #4) with 3 changes
2025-11-10 02:47:31,035 | INFO | books_crawler | Successfully crawled book: The Murder of Roger Ackroyd (Hercule Poirot #4)
2025-11-10 02:47:31,038 | INFO | books_crawler | Updated book The Last Mile (Amos Decker #2) with 3 changes
2025-11-10 02:47:31,039 | INFO | books_crawler | Successfully crawled book: The Last Mile (Amos Decker #2)
2025-11-10 02:47:31,042 | INFO | books_crawler | Updated book A Time of Torment (Charlie Parker #14) with 3 changes
2025-11-10 02:47:31,044 | INFO | books_crawler | Successfully crawled book: A Time of Torment (Charlie Parker #14)
2025-11-10 02:47:31,045 | INFO | books_crawler | Updated book That Darkness (Gardiner and Renner #1) with 3 changes
2025-11-10 02:47:31,046 | INFO | books_crawler | Successfully crawled book: That Darkness (Gardiner and Renner #1)
2025-11-10 02:47:31,077 | INFO | books_crawler | Updated book Sharp Objects with 3 changes
2025-11-10 02:47:31,200 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/sharp-objects_997/index.html
2025-11-10 02:47:31,201 | INFO | books_crawler | Successfully crawled book: Sharp Objects
2025-11-10 02:47:31,206 | INFO | books_crawler | Updated book A Murder in Time with 3 changes
2025-11-10 02:47:31,207 | INFO | books_crawler | Successfully crawled book: A Murder in Time
2025-11-10 02:47:32,397 | INFO | books_crawler | Updated book Poisonous (Max Revere Novels #3) with 3 changes
2025-11-10 02:47:32,401 | INFO | books_crawler | Successfully crawled book: Poisonous (Max Revere Novels #3)
2025-11-10 02:47:32,402 | INFO | books_crawler | Updated book Hide Away (Eve Duncan #20) with 3 changes
2025-11-10 02:47:32,403 | INFO | books_crawler | Successfully crawled book: Hide Away (Eve Duncan #20)
2025-11-10 02:47:32,410 | INFO | books_crawler | Updated book The Widow with 3 changes
2025-11-10 02:47:32,417 | INFO | books_crawler | Successfully crawled book: The Widow
2025-11-10 02:47:32,421 | INFO | books_crawler | Updated book Murder at the 42nd Street Library (Raymond Ambler #1) with 3 changes
2025-11-10 02:47:32,424 | INFO | books_crawler | Successfully crawled book: Murder at the 42nd Street Library (Raymond Ambler #1)
2025-11-10 02:47:32,426 | INFO | books_crawler | Updated book Most Wanted with 3 changes
2025-11-10 02:47:32,428 | INFO | books_crawler | Successfully crawled book: Most Wanted
2025-11-10 02:47:32,434 | INFO | books_crawler | Updated book The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1) with 3 changes
2025-11-10 02:47:32,438 | INFO | books_crawler | Successfully crawled book: The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)
2025-11-10 02:47:32,439 | INFO | books_crawler | Updated book Boar Island (Anna Pigeon #19) with 3 changes
2025-11-10 02:47:32,440 | INFO | books_crawler | Successfully crawled book: Boar Island (Anna Pigeon #19)
2025-11-10 02:47:32,441 | INFO | books_crawler | Updated book Playing with Fire with 3 changes
2025-11-10 02:47:32,442 | INFO | books_crawler | Successfully crawled book: Playing with Fire
2025-11-10 02:47:32,443 | INFO | books_crawler | Updated book What Happened on Beale Street (Secrets of the South Mysteries #2) with 3 changes
2025-11-10 02:47:32,450 | INFO | books_crawler | Updated book Delivering the Truth (Quaker Midwife Mystery #1) with 3 changes
2025-11-10 02:47:32,452 | INFO | books_crawler | Successfully crawled book: Delivering the Truth (Quaker Midwife Mystery #1)
2025-11-10 02:47:32,454 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
2025-11-10 02:47:32,455 | INFO | books_crawler | Successfully crawled book: What Happened on Beale Street (Secrets of the South Mysteries #2)
2025-11-10 02:47:35,739 | INFO | books_crawler | Updated book The Mysterious Affair at Styles (Hercule Poirot #1) with 3 changes
2025-11-10 02:47:35,744 | INFO | books_crawler | Successfully crawled book: The Mysterious Affair at Styles (Hercule Poirot #1)
2025-11-10 02:47:35,752 | INFO | books_crawler | Updated book The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1) with 3 changes
2025-11-10 02:47:35,758 | INFO | books_crawler | Successfully crawled book: The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)
2025-11-10 02:47:35,818 | INFO | books_crawler | Updated book The Exiled with 3 changes
2025-11-10 02:47:35,822 | INFO | books_crawler | Successfully crawled book: The Exiled
2025-11-10 02:47:35,824 | INFO | books_crawler | Updated book The Girl You Lost with 3 changes
2025-11-10 02:47:35,826 | INFO | books_crawler | Successfully crawled book: The Girl You Lost
2025-11-10 02:47:35,901 | INFO | books_crawler | Updated book Career of Evil (Cormoran Strike #3) with 3 changes
2025-11-10 02:47:35,903 | INFO | books_crawler | Successfully crawled book: Career of Evil (Cormoran Strike #3)
2025-11-10 02:47:35,905 | INFO | books_crawler | Updated book The Silkworm (Cormoran Strike #2) with 3 changes
2025-11-10 02:47:35,906 | INFO | books_crawler | Successfully crawled book: The Silkworm (Cormoran Strike #2)
2025-11-10 02:47:35,908 | INFO | books_crawler | Updated book The Girl In The Ice (DCI Erika Foster #1) with 3 changes
2025-11-10 02:47:35,910 | INFO | books_crawler | Successfully crawled book: The Girl In The Ice (DCI Erika Foster #1)
2025-11-10 02:47:35,920 | INFO | books_crawler | Updated book In the Woods (Dublin Murder Squad #1) with 3 changes
2025-11-10 02:47:35,926 | INFO | books_crawler | Successfully crawled book: In the Woods (Dublin Murder Squad #1)
2025-11-10 02:47:35,930 | INFO | books_crawler | Updated book The Cuckoo's Calling (Cormoran Strike #1) with 3 changes
2025-11-10 02:47:35,951 | INFO | books_crawler | Updated book Extreme Prey (Lucas Davenport #26) with 3 changes
2025-11-10 02:47:35,954 | INFO | books_crawler | Successfully crawled book: Extreme Prey (Lucas Davenport #26)
2025-11-10 02:47:35,957 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
2025-11-10 02:47:35,961 | INFO | books_crawler | Successfully crawled book: The Cuckoo's Calling (Cormoran Strike #1)
2025-11-10 02:47:36,954 | INFO | books_crawler | Updated book Blood Defense (Samantha Brinkman #1) with 3 changes
2025-11-10 02:47:36,956 | INFO | books_crawler | Successfully crawled book: Blood Defense (Samantha Brinkman #1)
2025-11-10 02:47:36,969 | INFO | books_crawler | Updated book 1st to Die (Women's Murder Club #1) with 3 changes
2025-11-10 02:47:36,971 | INFO | books_crawler | Successfully crawled book: 1st to Die (Women's Murder Club #1)
2025-11-10 02:47:37,095 | INFO | books_crawler | Completed category Mystery: 32 books processed
2025-11-10 02:47:37,098 | INFO | books_crawler | Processing category: Historical Fiction
2025-11-10 02:47:40,583 | INFO | books_crawler | Updated book Tipping the Velvet with 3 changes
2025-11-10 02:47:40,593 | INFO | books_crawler | Successfully crawled book: Tipping the Velvet
2025-11-10 02:47:40,600 | INFO | books_crawler | Updated book The Marriage of Opposites with 3 changes
2025-11-10 02:47:40,606 | INFO | books_crawler | Successfully crawled book: The Marriage of Opposites
2025-11-10 02:47:40,668 | INFO | books_crawler | Updated book Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton with 3 changes
2025-11-10 02:47:40,676 | INFO | books_crawler | Successfully crawled book: Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
2025-11-10 02:47:40,679 | INFO | books_crawler | Updated book A Flight of Arrows (The Pathfinders #2) with 3 changes
2025-11-10 02:47:40,692 | INFO | books_crawler | Successfully crawled book: A Flight of Arrows (The Pathfinders #2)
2025-11-10 02:47:40,770 | INFO | books_crawler | Updated book Love, Lies and Spies with 3 changes
2025-11-10 02:47:40,773 | INFO | books_crawler | Successfully crawled book: Love, Lies and Spies
2025-11-10 02:47:40,774 | INFO | books_crawler | Updated book Lilac Girls with 3 changes
2025-11-10 02:47:40,775 | INFO | books_crawler | Successfully crawled book: Lilac Girls
2025-11-10 02:47:40,778 | INFO | books_crawler | Updated book The House by the Lake with 3 changes
2025-11-10 02:47:40,788 | INFO | books_crawler | Updated book Glory over Everything: Beyond The Kitchen House with 3 changes
2025-11-10 02:47:40,792 | INFO | books_crawler | Successfully crawled book: Glory over Everything: Beyond The Kitchen House
2025-11-10 02:47:40,876 | INFO | books_crawler | Updated book A Paris Apartment with 3 changes
2025-11-10 02:47:40,877 | INFO | books_crawler | Successfully crawled book: A Paris Apartment
2025-11-10 02:47:40,962 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
2025-11-10 02:47:40,965 | INFO | books_crawler | Successfully crawled book: The House by the Lake
2025-11-10 02:47:40,969 | INFO | books_crawler | Updated book Mrs. Houdini with 3 changes
2025-11-10 02:47:40,970 | INFO | books_crawler | Successfully crawled book: Mrs. Houdini
2025-11-10 02:47:43,692 | INFO | books_crawler | Updated book The Invention of Wings with 3 changes
2025-11-10 02:47:43,737 | INFO | books_crawler | Successfully crawled book: The Invention of Wings
2025-11-10 02:47:43,743 | INFO | books_crawler | Updated book World Without End (The Pillars of the Earth #2) with 3 changes
2025-11-10 02:47:43,760 | INFO | books_crawler | Successfully crawled book: World Without End (The Pillars of the Earth #2)
2025-11-10 02:47:43,805 | INFO | books_crawler | Updated book Girl With a Pearl Earring with 3 changes
2025-11-10 02:47:43,809 | INFO | books_crawler | Successfully crawled book: Girl With a Pearl Earring
2025-11-10 02:47:43,852 | INFO | books_crawler | Updated book The Constant Princess (The Tudor Court #1) with 3 changes
2025-11-10 02:47:43,870 | INFO | books_crawler | Successfully crawled book: The Constant Princess (The Tudor Court #1)
2025-11-10 02:47:43,917 | INFO | books_crawler | Updated book Girl in the Blue Coat with 3 changes
2025-11-10 02:47:43,961 | INFO | books_crawler | Successfully crawled book: Girl in the Blue Coat
2025-11-10 02:47:43,989 | INFO | books_crawler | Updated book The Guernsey Literary and Potato Peel Pie Society with 3 changes
2025-11-10 02:47:43,992 | INFO | books_crawler | Successfully crawled book: The Guernsey Literary and Potato Peel Pie Society
2025-11-10 02:47:44,003 | INFO | books_crawler | Updated book Voyager (Outlander #3) with 3 changes
2025-11-10 02:47:44,058 | INFO | books_crawler | Updated book The Last Painting of Sara de Vos with 3 changes
2025-11-10 02:47:44,107 | INFO | books_crawler | Successfully crawled book: The Last Painting of Sara de Vos
2025-11-10 02:47:44,186 | INFO | books_crawler | Updated book The Passion of Dolssa with 3 changes
2025-11-10 02:47:44,207 | INFO | books_crawler | Successfully crawled book: The Passion of Dolssa
2025-11-10 02:47:44,287 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
2025-11-10 02:47:44,301 | INFO | books_crawler | Successfully crawled book: Voyager (Outlander #3)
2025-11-10 02:47:44,318 | INFO | books_crawler | Updated book The Red Tent with 3 changes
2025-11-10 02:47:44,343 | INFO | books_crawler | Successfully crawled book: The Red Tent
2025-11-10 02:47:47,588 | INFO | books_crawler | Updated book The Secret Healer with 3 changes
2025-11-10 02:47:47,593 | INFO | books_crawler | Successfully crawled book: The Secret Healer
2025-11-10 02:47:47,601 | INFO | books_crawler | Updated book Starlark with 3 changes
2025-11-10 02:47:47,602 | INFO | books_crawler | Successfully crawled book: Starlark
2025-11-10 02:47:47,616 | INFO | books_crawler | Updated book Lost Among the Living with 3 changes
2025-11-10 02:47:47,623 | INFO | books_crawler | Successfully crawled book: Lost Among the Living
2025-11-10 02:47:47,634 | INFO | books_crawler | Updated book Between Shades of Gray with 3 changes
2025-11-10 02:47:47,636 | INFO | books_crawler | Successfully crawled book: Between Shades of Gray
2025-11-10 02:47:47,638 | INFO | books_crawler | Updated book While You Were Mine with 3 changes
2025-11-10 02:47:47,639 | INFO | books_crawler | Successfully crawled book: While You Were Mine
2025-11-10 02:47:47,658 | INFO | books_crawler | Updated book A Spy's Devotion (The Regency Spies of London #1) with 3 changes
2025-11-10 02:47:47,661 | INFO | books_crawler | Successfully crawled book: A Spy's Devotion (The Regency Spies of London #1)
2025-11-10 02:47:47,763 | INFO | books_crawler | Completed category Historical Fiction: 26 books processed
2025-11-10 02:47:47,766 | INFO | books_crawler | Processing category: Sequential Art
2025-11-10 02:47:58,463 | INFO | books_crawler | Updated book Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2) with 3 changes
2025-11-10 02:47:58,479 | INFO | books_crawler | Updated book Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15) with 3 changes
2025-11-10 02:47:58,490 | INFO | books_crawler | Successfully crawled book: Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)
2025-11-10 02:47:58,493 | INFO | books_crawler | Updated book Saga, Volume 5 (Saga (Collected Editions) #5) with 3 changes
2025-11-10 02:47:58,501 | INFO | books_crawler | Successfully crawled book: Saga, Volume 5 (Saga (Collected Editions) #5)
2025-11-10 02:47:58,503 | INFO | books_crawler | Checkpoint saved at https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
2025-11-10 02:47:58,506 | INFO | books_crawler | Successfully crawled book: Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
2025-11-10 02:47:58,513 | INFO | books_crawler | Updated book This One Summer with 3 changes
